"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"68","","pfaa/focalboard/mattermost-plugin/webapp/babel.config.js","1","45","GlobalVariable: Avoid using global variables","Best Practices","GlobalVariable"
"69","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","21","GlobalVariable: Avoid using global variables","Best Practices","GlobalVariable"
"70","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","22","GlobalVariable: Avoid using global variables","Best Practices","GlobalVariable"
"71","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","24","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"72","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","31","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"73","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","40","GlobalVariable: Avoid using global variables","Best Practices","GlobalVariable"
"74","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","55","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"75","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","57","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"76","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","58","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"77","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","63","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"78","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","68","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"79","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","69","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"80","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","70","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"81","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","72","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"82","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","74","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"83","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","75","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"84","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","76","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"85","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","77","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"86","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","88","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"87","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","92","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"88","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","94","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"89","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","101","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"90","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","103","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"91","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","108","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"92","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","117","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"93","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","125","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"94","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","161","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"95","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","164","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"96","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","170","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"97","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","174","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"98","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","184","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"99","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","188","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"100","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","195","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"101","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","205","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"102","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","213","GlobalVariable: Avoid using global variables","Best Practices","GlobalVariable"
"103","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","217","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"104","","pfaa/focalboard/mattermost-plugin/webapp/webpack.config.js","1","245","GlobalVariable: Avoid using global variables","Best Practices","GlobalVariable"
"105","","pfaa/focalboard/server/services/store/sqlstore/migrations/000002_system_settings_table.up.sql","3","2","AvoidTabCharacter: Tab characters are not allowed. Use spaces for indentation","Code Style","AvoidTabCharacter"
"106","","pfaa/focalboard/server/services/store/sqlstore/migrations/000004_auth_table.up.sql","3","2","AvoidTabCharacter: Tab characters are not allowed. Use spaces for indentation","Code Style","AvoidTabCharacter"
"107","","pfaa/focalboard/server/services/store/sqlstore/migrations/000006_sharing_table.up.sql","3","2","AvoidTabCharacter: Tab characters are not allowed. Use spaces for indentation","Code Style","AvoidTabCharacter"
"108","","pfaa/focalboard/server/services/store/sqlstore/migrations/000007_workspaces_table.up.sql","3","2","AvoidTabCharacter: Tab characters are not allowed. Use spaces for indentation","Code Style","AvoidTabCharacter"
"109","","pfaa/focalboard/server/services/store/sqlstore/migrations/000016_subscriptions_table.up.sql","3","2","AvoidTabCharacter: Tab characters are not allowed. Use spaces for indentation","Code Style","AvoidTabCharacter"
"110","","pfaa/focalboard/server/services/store/sqlstore/migrationstests/fixtures/test27MigrateUserPropsToPreferences.sql","3","4","LineLength: The line is too long. Only 80 characters are allowed.","Code Style","LineLength"
"111","","pfaa/focalboard/server/swagger/docs/html/index.html","3","1411","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"112","","pfaa/focalboard/server/swagger/docs/html/index.html","3","1443","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"113","","pfaa/focalboard/server/swagger/docs/html/index.html","3","1443","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"114","","pfaa/focalboard/server/swagger/docs/html/index.html","3","1513","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"115","","pfaa/focalboard/server/swagger/docs/html/index.html","3","1570","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"116","","pfaa/focalboard/server/swagger/docs/html/index.html","3","1597","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"117","","pfaa/focalboard/server/swagger/docs/html/index.html","3","1910","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"118","","pfaa/focalboard/server/swagger/docs/html/index.html","3","1960","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"119","","pfaa/focalboard/server/swagger/docs/html/index.html","3","1987","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"120","","pfaa/focalboard/server/swagger/docs/html/index.html","3","2300","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"121","","pfaa/focalboard/server/swagger/docs/html/index.html","3","2350","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"122","","pfaa/focalboard/server/swagger/docs/html/index.html","3","2377","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"123","","pfaa/focalboard/server/swagger/docs/html/index.html","3","2701","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
