"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"366","","pfaa/focalboard/server/swagger/docs/html/index.html","3","29562","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"367","","pfaa/focalboard/server/swagger/docs/html/index.html","3","29891","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"368","","pfaa/focalboard/server/swagger/docs/html/index.html","3","29914","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"369","","pfaa/focalboard/server/swagger/docs/html/index.html","3","29969","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"370","","pfaa/focalboard/server/swagger/docs/html/index.html","3","30026","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"371","","pfaa/focalboard/server/swagger/docs/html/index.html","3","30053","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"372","","pfaa/focalboard/server/swagger/docs/html/index.html","3","30363","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"373","","pfaa/focalboard/server/swagger/docs/html/index.html","3","30413","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"374","","pfaa/focalboard/server/swagger/docs/html/index.html","3","30440","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"375","","pfaa/focalboard/server/swagger/docs/html/index.html","3","30785","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"376","","pfaa/focalboard/server/swagger/docs/html/index.html","3","30817","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"377","","pfaa/focalboard/server/swagger/docs/html/index.html","3","30817","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"378","","pfaa/focalboard/server/swagger/docs/html/index.html","3","30869","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"379","","pfaa/focalboard/server/swagger/docs/html/index.html","3","30917","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"380","","pfaa/focalboard/server/swagger/docs/html/index.html","3","30979","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"381","","pfaa/focalboard/server/swagger/docs/html/index.html","3","31320","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"382","","pfaa/focalboard/server/swagger/docs/html/index.html","3","31343","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"383","","pfaa/focalboard/server/swagger/docs/html/index.html","3","31375","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"384","","pfaa/focalboard/server/swagger/docs/html/index.html","3","31375","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"385","","pfaa/focalboard/server/swagger/docs/html/index.html","3","31445","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"386","","pfaa/focalboard/server/swagger/docs/html/index.html","3","31507","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"387","","pfaa/focalboard/server/swagger/docs/html/index.html","3","31837","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"388","","pfaa/focalboard/server/swagger/docs/html/index.html","3","31860","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"389","","pfaa/focalboard/server/swagger/docs/html/index.html","3","31883","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"390","","pfaa/focalboard/server/swagger/docs/html/index.html","3","31933","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"391","","pfaa/focalboard/server/swagger/docs/html/index.html","3","31960","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"392","","pfaa/focalboard/server/swagger/docs/html/index.html","3","32301","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"393","","pfaa/focalboard/server/swagger/docs/html/index.html","3","32324","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"394","","pfaa/focalboard/server/swagger/docs/html/index.html","3","32356","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"395","","pfaa/focalboard/server/swagger/docs/html/index.html","3","32356","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"396","","pfaa/focalboard/server/swagger/docs/html/index.html","3","32426","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"397","","pfaa/focalboard/server/swagger/docs/html/index.html","3","32488","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"398","","pfaa/focalboard/server/swagger/docs/html/index.html","3","32810","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"399","","pfaa/focalboard/server/swagger/docs/html/index.html","3","32842","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"400","","pfaa/focalboard/server/swagger/docs/html/index.html","3","32842","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"401","","pfaa/focalboard/server/swagger/docs/html/index.html","3","32907","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"402","","pfaa/focalboard/server/swagger/docs/html/index.html","3","32934","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"403","","pfaa/focalboard/server/swagger/docs/html/index.html","3","33276","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"404","","pfaa/focalboard/server/swagger/docs/html/index.html","3","33299","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"405","","pfaa/focalboard/server/swagger/docs/html/index.html","3","33332","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"406","","pfaa/focalboard/server/swagger/docs/html/index.html","3","33384","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"407","","pfaa/focalboard/server/swagger/docs/html/index.html","3","33441","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"408","","pfaa/focalboard/server/swagger/docs/html/index.html","3","33468","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"409","","pfaa/focalboard/webapp/cypress/plugins/index.js","1","23","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"410","","pfaa/focalboard/webapp/webpack.common.js","1","12","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"411","","pfaa/focalboard/webapp/webpack.common.js","1","15","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"412","","pfaa/focalboard/webapp/webpack.common.js","1","19","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"413","","pfaa/focalboard/webapp/webpack.common.js","1","20","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"414","","pfaa/focalboard/webapp/webpack.common.js","1","21","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"415","","pfaa/focalboard/webapp/webpack.common.js","1","23","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"416","","pfaa/focalboard/webapp/webpack.common.js","1","27","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"417","","pfaa/focalboard/webapp/webpack.common.js","1","29","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"418","","pfaa/focalboard/webapp/webpack.common.js","1","31","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"419","","pfaa/focalboard/webapp/webpack.common.js","1","32","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"420","","pfaa/focalboard/webapp/webpack.common.js","1","33","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"421","","pfaa/focalboard/webapp/webpack.common.js","1","34","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"422","","pfaa/focalboard/webapp/webpack.common.js","1","45","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"423","","pfaa/focalboard/webapp/webpack.common.js","1","49","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"424","","pfaa/focalboard/webapp/webpack.common.js","1","51","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"425","","pfaa/focalboard/webapp/webpack.common.js","1","57","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"426","","pfaa/focalboard/webapp/webpack.common.js","1","59","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"427","","pfaa/focalboard/webapp/webpack.common.js","1","64","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"428","","pfaa/focalboard/webapp/webpack.common.js","1","70","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"429","","pfaa/focalboard/webapp/webpack.common.js","1","73","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"430","","pfaa/focalboard/webapp/webpack.common.js","1","79","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"431","","pfaa/focalboard/webapp/webpack.common.js","1","80","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"432","","pfaa/focalboard/webapp/webpack.common.js","1","87","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"433","","pfaa/focalboard/webapp/webpack.common.js","1","88","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"434","","pfaa/focalboard/webapp/webpack.common.js","1","89","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"435","","pfaa/focalboard/webapp/webpack.common.js","1","93","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"436","","pfaa/focalboard/webapp/webpack.common.js","1","104","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"437","","pfaa/focalboard/webapp/webpack.common.js","1","114","GlobalVariable: Avoid using global variables","Best Practices","GlobalVariable"
"438","","pfaa/focalboard/webapp/webpack.dev.js","1","9","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"439","","pfaa/focalboard/webapp/webpack.dev.js","1","12","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"440","","pfaa/focalboard/webapp/webpack.dev.js","1","17","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"441","","pfaa/focalboard/webapp/webpack.dev.js","1","18","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"442","","pfaa/focalboard/webapp/webpack.dev.js","1","20","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"443","","pfaa/focalboard/webapp/webpack.editor.js","1","12","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"444","","pfaa/focalboard/webapp/webpack.editor.js","1","15","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"445","","pfaa/focalboard/webapp/webpack.editor.js","1","18","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"446","","pfaa/focalboard/webapp/webpack.editor.js","1","23","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"447","","pfaa/focalboard/webapp/webpack.editor.js","1","24","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"448","","pfaa/focalboard/webapp/webpack.editor.js","1","25","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"449","","pfaa/focalboard/webapp/webpack.editor.js","1","29","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"450","","pfaa/focalboard/webapp/webpack.editor.js","1","41","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"451","","pfaa/focalboard/webapp/webpack.editor.js","1","42","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"452","","pfaa/focalboard/webapp/webpack.editor.js","1","44","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"453","","pfaa/focalboard/webapp/webpack.prod.js","1","10","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"454","","pfaa/focalboard/webapp/webpack.prod.js","1","12","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"455","","pfaa/focalboard/webapp/webpack.prod.js","1","18","AvoidTrailingComma: Avoid trailing commas in object or array literals","Error Prone","AvoidTrailingComma"
"456","","pfaa/focalboard/website/site/content/fwlink/doc-boards.html","3","5","UnnecessaryTypeAttribute: Type attribute for link and script elements is not needed.","Best Practices","UnnecessaryTypeAttribute"
"457","","pfaa/focalboard/website/site/content/fwlink/feedback-boards.html","3","4","UnnecessaryTypeAttribute: Type attribute for link and script elements is not needed.","Best Practices","UnnecessaryTypeAttribute"
"458","","pfaa/focalboard/website/site/content/fwlink/feedback-focalboard.html","3","4","UnnecessaryTypeAttribute: Type attribute for link and script elements is not needed.","Best Practices","UnnecessaryTypeAttribute"
"459","","pfaa/focalboard/website/site/content/fwlink/plugin-setup.html","3","5","UnnecessaryTypeAttribute: Type attribute for link and script elements is not needed.","Best Practices","UnnecessaryTypeAttribute"
"460","","pfaa/focalboard/website/site/content/fwlink/setup-536.html","3","5","UnnecessaryTypeAttribute: Type attribute for link and script elements is not needed.","Best Practices","UnnecessaryTypeAttribute"
"461","","pfaa/focalboard/website/site/content/fwlink/v1-focalboard.html","3","5","UnnecessaryTypeAttribute: Type attribute for link and script elements is not needed.","Best Practices","UnnecessaryTypeAttribute"
"462","","pfaa/focalboard/website/site/content/fwlink/websocket-connect-error.html","3","5","UnnecessaryTypeAttribute: Type attribute for link and script elements is not needed.","Best Practices","UnnecessaryTypeAttribute"
"463","","pfaa/focalboard/website/site/layouts/_default/taxonomy.html","3","18","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"464","","pfaa/focalboard/website/site/layouts/indexes/tag.html","3","18","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"465","","pfaa/focalboard/website/site/layouts/partials/head.html","3","46","UnnecessaryTypeAttribute: Type attribute for link and script elements is not needed.","Best Practices","UnnecessaryTypeAttribute"
"466","","pfaa/focalboard/website/site/layouts/partials/head.html","3","70","UnnecessaryTypeAttribute: Type attribute for link and script elements is not needed.","Best Practices","UnnecessaryTypeAttribute"
"467","","pfaa/focalboard/website/site/layouts/partials/hero.html","3","5","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"468","","pfaa/focalboard/website/site/layouts/partials/hero.html","3","17","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"469","","pfaa/focalboard/website/site/layouts/partials/intro.html","3","64","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"470","","pfaa/focalboard/website/site/layouts/partials/mailinglist.html","3","2","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"471","","pfaa/focalboard/website/site/layouts/partials/sidebar.html","3","24","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"472","","pfaa/focalboard/website/site/layouts/partials/sidebar.html","3","48","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"473","","pfaa/focalboard/website/site/themes/layouts/partials/counters.html","3","1","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"474","","pfaa/focalboard/website/site/themes/layouts/partials/hero.html","3","1","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"475","","pfaa/focalboard/website/site/themes/layouts/partials/intro.html","3","5","AvoidInlineStyles: Avoid inline styles","Best Practices","AvoidInlineStyles"
"476","","pfaa/privacy-friendly-solitaire/android/res/drawable-mdpi/ic_menu_help.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"477","","pfaa/privacy-friendly-solitaire/android/res/drawable-mdpi/ic_menu_info.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"478","","pfaa/privacy-friendly-solitaire/android/res/drawable/ic_settings.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"479","","pfaa/privacy-friendly-solitaire/android/res/layout-sw600dp/activity_about.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"480","","pfaa/privacy-friendly-solitaire/android/res/values-w820dp/dimens.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"481","","pfaa/privacy-friendly-solitaire/android/res/values/dimens.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"482","","pfaa/privacy-friendly-solitaire/android/res/values/styles.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"483","","pfaa/sms-backup-plus/app/src/main/assets/about.html","3","5","UnnecessaryTypeAttribute: Type attribute for link and script elements is not needed.","Best Practices","UnnecessaryTypeAttribute"
"484","","pfaa/sms-backup-plus/app/src/main/res/color/text_primary.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"485","","pfaa/sms-backup-plus/app/src/main/res/color/text_secondary.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"486","","pfaa/sms-backup-plus/app/src/main/res/color/text_tertiary.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"487","","pfaa/sms-backup-plus/app/src/main/res/drawable-anydpi/ic_account_circle.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"488","","pfaa/sms-backup-plus/app/src/main/res/drawable-anydpi/ic_done.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"489","","pfaa/sms-backup-plus/app/src/main/res/drawable-anydpi/ic_syncing.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"490","","pfaa/sms-backup-plus/app/src/main/res/drawable-anydpi/ic_syncing_problem.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"491","","pfaa/sms-backup-plus/app/src/main/res/drawable/ic_notification.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"492","","pfaa/sms-backup-plus/app/src/main/res/drawable/ic_sms_backup.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"493","","pfaa/sms-backup-plus/app/src/main/res/values/styles.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"494","","pfaa/sms-backup-plus/app/src/main/res/xml/preferences.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
"495","","pfaa/vidmate-app-download/sitemap.xml","3","1","MissingEncoding: Set an explicit XML encoding in the XML declaration to ensure proper parsing","Best Practices","MissingEncoding"
