Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/datesr/pfaa/CoolReader/thirdparty/freetype/src/raster,4016,4016,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/sfnt,10846,10846,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/smooth,2751,2751,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/tools,6356,6356,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/tools/docmaker,1971,1971,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/tools/ftrandom,742,742,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/truetype,14550,14550,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/type1,5283,5283,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/type42,2538,2538,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/freetype/src/winfonts,1442,1442,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/libjpeg,33901,33901,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/libpng,37986,37986,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/libpng/projects,12,12,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/libpng/projects/beos,261,261,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/libpng/projects/cbuilder5,403,403,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/libpng/projects/visualc6,902,902,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/libpng/projects/visualc71,2041,2041,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/libpng/scripts,8365,8365,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/zlib,14991,14991,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/zlib/examples,3505,3505,0,"100,00"
/datesr/pfaa/CoolReader/thirdparty/zlib/projects,41,41,0,"100,00"
